META Nbins 1500 Nquantiles 101 Nssbin 3 Nsfbin 5 Nnbbin 5
index aa  aai ss lowsf highsf lownb  highnb nsamp q000    q001    q002    q003    q004    q005    q006    q007    q008    q009    q010    q011    q012    q013    q014    q015    q016    q017    q018    q019    q020    q021   q022   q023   q024   q025   q026   q027   q028   q029   q030   q031   q032   q033   q034   q035   q036   q037   q038   q039   q040   q041   q042   q043   q044   q045   q046   q047   q048   q049   q050   q051   q052   q053   q054   q055   q056   q057   q058   q059   q060   q061   q062   q063   q064   q065   q066   q067   q068   q069   q070   q071   q072   q073   q074   q075   q076   q077   q078   q079   q080   q081   q082   q083   q084   q085   q086   q087   q088   q089   q090   q091   q092   q093   q094   q095   q096   q097   q098   q099   q100  
11    ALA 1   E  0.066 0.239  5.5    17.21  379   -10.063 -7.197  -6.197  -5.796  -4.908  -4.541  -4.472  -4.238  -4.204  -3.931  -3.709  -3.23   -3.017  -2.926  -2.803  -2.743  -2.624  -2.488  -2.396  -2.291  -2.183  -2.1   -2.012 -1.891 -1.786 -1.706 -1.541 -1.471 -1.328 -1.239 -1.156 -1.08  -0.945 -0.824 -0.679 -0.543 -0.476 -0.411 -0.209 -0.138 -0.022 0.062  0.119  0.278  0.323  0.363  0.397  0.448  0.596  0.669  0.748  0.827  0.942  1.052  1.095  1.193  1.353  1.408  1.527  1.664  1.751  1.791  1.961  2.05   2.174  2.299  2.388  2.457  2.57   2.864  3.023  3.112  3.188  3.255  3.318  3.482  3.562  3.648  3.882  3.992  4.136  4.225  4.38   4.515  4.734  4.844  5.157  5.364  5.801  6.047  6.288  6.493  6.844  7.181  7.41   7.664  8.05   8.313  8.964  10.265 14.008
12    ALA 1   E  0.066 0.239  17.21  19.214 367   -8.102  -7.23   -6.74   -6.044  -5.704  -5.367  -4.888  -4.366  -4.07   -3.785  -3.637  -3.534  -3.408  -3.291  -3.126  -3.005  -2.892  -2.689  -2.642  -2.494  -2.391  -2.267 -2.13  -2.092 -1.979 -1.892 -1.684 -1.547 -1.416 -1.33  -1.212 -1.149 -1.005 -0.881 -0.706 -0.644 -0.593 -0.48  -0.297 -0.219 -0.072 0.047  0.091  0.158  0.256  0.299  0.347  0.579  0.664  0.758  0.803  0.914  1.113  1.392  1.513  1.649  1.695  1.757  1.872  2.054  2.237  2.307  2.342  2.404  2.52   2.536  2.597  2.694  2.819  2.855  2.94   3.18   3.247  3.335  3.409  3.63   3.677  3.821  3.987  4.148  4.44   4.545  4.668  4.82   5.051  5.165  5.379  5.619  6.002  6.279  6.919  7.279  7.705  7.999  8.166  8.88   9.493  9.842  10.298 11.38  14.998
13    ALA 1   E  0.066 0.239  19.214 20.99  193   -8.647  -6.256  -5.889  -5.751  -5.575  -5.193  -4.956  -4.636  -4.392  -4.196  -3.926  -3.543  -3.472  -3.349  -3.144  -2.809  -2.691  -2.592  -2.502  -2.362  -2.224  -2.06  -1.92  -1.89  -1.856 -1.696 -1.651 -1.623 -1.571 -1.463 -1.393 -1.37  -1.349 -1.32  -1.04  -0.842 -0.766 -0.682 -0.64  -0.575 -0.434 -0.241 -0.149 -0.019 0.056  0.178  0.228  0.261  0.36   0.409  0.44   0.478  0.621  0.689  0.822  1.021  1.136  1.232  1.418  1.711  1.843  1.928  1.955  2.104  2.223  2.313  2.365  2.412  2.581  2.798  2.918  3.025  3.165  3.318  3.461  3.519  4.285  4.397  4.455  4.724  4.863  4.988  5.137  5.481  5.654  5.834  5.959  6.191  6.428  6.536  6.737  6.932  7.142  7.851  8.235  8.439  8.741  10.191 10.561 11.256 13.895
14    ALA 1   E  0.066 0.239  20.99  23.13  483   -9.383  -8.107  -6.893  -6.15   -5.583  -5.244  -4.673  -4.478  -4.323  -3.915  -3.813  -3.577  -3.183  -3.073  -2.922  -2.763  -2.687  -2.506  -2.467  -2.325  -2.279  -2.185 -2.108 -2.02  -1.852 -1.691 -1.587 -1.402 -1.376 -1.244 -1.11  -1.057 -0.9   -0.703 -0.513 -0.341 -0.219 -0.161 0.005  0.101  0.162  0.222  0.32   0.417  0.525  0.552  0.699  0.791  0.913  1.03   1.082  1.144  1.318  1.407  1.552  1.627  1.763  1.953  2.048  2.116  2.165  2.242  2.323  2.482  2.687  2.855  3      3.065  3.215  3.381  3.459  3.696  3.841  3.977  4.184  4.268  4.38   4.445  4.605  4.771  4.906  5.135  5.291  5.422  5.61   5.762  5.949  6.269  6.764  7.042  7.252  7.707  8.092  8.41   9.229  9.556  9.787  10.611 11.481 12.8   16.084
15    ALA 1   E  0.066 0.239  23.13  30.5   302   -8.048  -6.615  -6.243  -5.825  -5.792  -5.56   -5.328  -5.203  -4.883  -4.571  -4.509  -4.279  -4.155  -3.981  -3.885  -3.669  -3.253  -3.112  -2.998  -2.833  -2.784  -2.711 -2.588 -2.525 -2.453 -2.382 -2.335 -2.266 -2.138 -2.043 -2.007 -1.737 -1.662 -1.355 -1.232 -1.151 -0.952 -0.814 -0.751 -0.693 -0.594 -0.515 -0.377 -0.239 -0.075 0.012  0.099  0.143  0.223  0.301  0.564  0.676  0.826  0.925  0.994  1.463  1.661  1.771  1.85   1.902  1.981  2.082  2.262  2.41   2.47   2.555  2.638  2.775  2.891  3.02   3.081  3.147  3.233  3.367  3.505  3.616  3.843  3.968  4.112  4.159  4.493  4.591  4.646  4.882  5.102  5.526  5.708  5.832  5.957  6.1    6.362  6.95   7.244  7.795  8.122  8.322  9.107  9.333  10.33  10.701 11.903
16    ALA 1   E  0.239 0.489  5.5    12.598 273   -10.773 -8.56   -7.443  -6.402  -5.575  -5.488  -5.384  -4.575  -4.269  -4.069  -3.803  -3.352  -3.153  -3.041  -2.906  -2.781  -2.653  -2.475  -2.347  -2.272  -1.977  -1.853 -1.638 -1.577 -1.522 -1.443 -1.422 -1.38  -1.292 -1.164 -0.951 -0.816 -0.7   -0.673 -0.62  -0.592 -0.478 -0.432 -0.387 -0.335 -0.293 -0.178 -0.015 0.06   0.174  0.219  0.329  0.427  0.486  0.585  0.653  0.678  0.841  0.927  1.122  1.164  1.339  1.425  1.478  1.618  1.723  1.767  1.849  1.887  1.916  2.003  2.158  2.292  2.567  2.626  2.777  2.874  3.003  3.195  3.26   3.531  3.793  3.815  3.874  3.928  3.961  4.142  4.286  4.346  4.469  4.613  4.736  5.053  5.351  5.617  5.705  5.938  6.163  6.437  6.644  7.006  7.378  8.024  10.231 12.078 12.941
17    ALA 1   E  0.239 0.489  12.598 14.451 324   -9.641  -6.836  -5.952  -5.5    -4.972  -4.671  -4.328  -4.271  -4.14   -3.993  -3.85   -3.704  -3.598  -3.415  -3.278  -3.052  -2.826  -2.688  -2.481  -2.418  -2.361  -2.294 -2.248 -2.158 -2.097 -1.93  -1.792 -1.719 -1.606 -1.436 -1.366 -1.315 -1.241 -1.193 -1.046 -0.827 -0.72  -0.666 -0.616 -0.465 -0.274 -0.161 -0.043 0.074  0.171  0.336  0.375  0.506  0.644  0.722  0.788  0.844  0.946  1.018  1.071  1.218  1.258  1.296  1.36   1.432  1.491  1.557  1.749  1.863  1.978  2.095  2.133  2.323  2.356  2.529  2.598  2.785  2.965  3.123  3.24   3.337  3.499  3.634  3.785  3.879  4.035  4.176  4.336  4.601  4.794  5.015  5.196  5.371  5.848  6.297  6.576  7.089  7.174  7.287  7.679  8.021  8.482  8.935  9.257  10.273 12.266
18    ALA 1   E  0.239 0.489  14.451 16.064 370   -10.314 -7.829  -6.829  -5.979  -5.81   -5.166  -4.965  -4.663  -4.513  -4.446  -4.17   -4.001  -3.918  -3.709  -3.544  -3.442  -3.353  -3.253  -3.172  -2.961  -2.909  -2.8   -2.767 -2.722 -2.605 -2.482 -2.319 -2.293 -2.207 -2.083 -1.999 -1.896 -1.831 -1.805 -1.713 -1.624 -1.541 -1.438 -1.218 -1.068 -0.955 -0.878 -0.736 -0.698 -0.608 -0.517 -0.421 -0.358 -0.294 -0.188 -0.178 -0.03  0.122  0.234  0.282  0.5    0.559  0.641  0.764  1.022  1.118  1.231  1.312  1.382  1.514  1.598  1.723  1.767  1.888  2.012  2.089  2.257  2.339  2.434  2.687  2.818  2.924  3.137  3.241  3.302  3.601  3.776  3.975  4.309  4.679  4.802  4.961  5.115  5.196  5.46   5.649  5.848  5.966  6.164  6.534  6.873  7.436  8.123  9.084  10.262 11.727
19    ALA 1   E  0.239 0.489  16.064 18.161 364   -9.223  -8.272  -7.635  -6.858  -6.682  -6.211  -5.521  -5.23   -4.972  -4.57   -4.537  -4.413  -4.253  -4.131  -4.023  -3.922  -3.752  -3.61   -3.39   -3.214  -3.036  -2.927 -2.596 -2.499 -2.276 -2.093 -2.026 -1.951 -1.858 -1.717 -1.608 -1.477 -1.402 -1.298 -1.176 -0.994 -0.803 -0.738 -0.618 -0.579 -0.454 -0.285 -0.215 -0.177 0.036  0.156  0.213  0.364  0.404  0.469  0.557  0.655  0.745  0.827  0.885  0.979  1.128  1.222  1.307  1.423  1.514  1.701  1.756  1.902  2.012  2.125  2.229  2.313  2.441  2.482  2.609  2.722  2.782  2.839  3.037  3.124  3.311  3.412  3.587  3.822  3.996  4.111  4.397  4.558  4.773  4.921  5.145  5.376  5.612  5.898  6.369  6.56   6.823  6.99   7.088  7.538  7.688  8.73   9.395  10.864 12.938
20    ALA 1   E  0.239 0.489  18.161 30.5   366   -8.926  -8.347  -7.368  -6.759  -6.491  -6.316  -6.053  -5.855  -5.488  -5.36   -5.062  -4.84   -4.669  -4.485  -4.383  -4.23   -4.008  -3.897  -3.752  -3.703  -3.541  -3.446 -3.326 -3.253 -3.133 -3.027 -2.98  -2.942 -2.919 -2.759 -2.575 -2.462 -2.354 -2.207 -2.036 -1.899 -1.636 -1.503 -1.409 -1.338 -1.22  -1.053 -0.92  -0.742 -0.664 -0.537 -0.38  -0.29  -0.204 -0.058 0.024  0.253  0.332  0.445  0.484  0.55   0.653  0.718  0.845  0.922  1.011  1.152  1.221  1.242  1.339  1.442  1.479  1.632  1.777  1.805  1.954  2      2.134  2.236  2.292  2.519  2.79   3.135  3.259  3.512  3.697  3.874  4.021  4.206  4.378  4.636  4.705  4.898  5.165  5.515  5.622  5.81   5.992  6.447  7.169  7.622  7.943  8.574  9.089  10.642 13.093
