META Nbins 1500 Nquantiles 101 Nssbin 3 Nsfbin 5 Nnbbin 5
index aa  aai ss lowsf highsf lownb  highnb nsamp q000   q001   q002   q003   q004   q005   q006   q007   q008   q009   q010   q011   q012   q013   q014   q015   q016   q017   q018   q019   q020   q021   q022   q023   q024   q025   q026   q027   q028   q029   q030   q031   q032   q033   q034   q035   q036   q037   q038   q039   q040   q041   q042   q043   q044   q045   q046   q047   q048   q049   q050   q051   q052   q053   q054   q055   q056   q057   q058   q059   q060   q061   q062   q063   q064   q065   q066   q067   q068   q069   q070   q071   q072   q073   q074   q075   q076   q077   q078   q079   q080   q081   q082   q083   q084   q085   q086   q087   q088   q089   q090    q091    q092    q093    q094    q095    q096    q097    q098    q099      q100     
11    ALA 1   E  0.066 0.239  5.5    17.21  379   -3.782 -3.613 -3.534 -3.421 -3.279 -3.24  -3.193 -3.155 -3.136 -3.123 -3.087 -3.056 -3.025 -3.017 -2.992 -2.977 -2.957 -2.932 -2.889 -2.856 -2.839 -2.81  -2.8   -2.785 -2.767 -2.746 -2.707 -2.694 -2.687 -2.677 -2.67  -2.658 -2.633 -2.628 -2.614 -2.598 -2.582 -2.57  -2.555 -2.541 -2.537 -2.521 -2.509 -2.491 -2.473 -2.46  -2.456 -2.437 -2.418 -2.402 -2.386 -2.373 -2.36  -2.346 -2.333 -2.326 -2.294 -2.28  -2.27  -2.232 -2.218 -2.208 -2.19  -2.184 -2.166 -2.14  -2.096 -2.069 -2.014 -1.995 -1.959 -1.932 -1.892 -1.857 -1.841 -1.82  -1.798 -1.761 -1.727 -1.71  -1.673 -1.599 -1.542 -1.52  -1.478 -1.455 -1.434 -1.316 -1.293 -1.267 -1.217  -1.186  -1.132  -0.989  -0.865  -0.81   -0.769  -0.75   -0.516  -0.201    0.273    
12    ALA 1   E  0.066 0.239  17.21  19.214 367   -3.808 -3.548 -3.511 -3.452 -3.369 -3.318 -3.292 -3.263 -3.219 -3.194 -3.166 -3.147 -3.121 -3.087 -3.059 -3.043 -3.012 -2.993 -2.981 -2.964 -2.94  -2.897 -2.883 -2.831 -2.817 -2.803 -2.788 -2.759 -2.743 -2.733 -2.711 -2.701 -2.688 -2.663 -2.635 -2.625 -2.588 -2.572 -2.56  -2.547 -2.515 -2.499 -2.479 -2.471 -2.451 -2.437 -2.416 -2.404 -2.39  -2.371 -2.351 -2.344 -2.324 -2.292 -2.252 -2.222 -2.215 -2.171 -2.153 -2.144 -2.119 -2.096 -2.08  -2.063 -2.037 -1.996 -1.985 -1.955 -1.918 -1.883 -1.852 -1.829 -1.788 -1.762 -1.743 -1.714 -1.676 -1.658 -1.604 -1.593 -1.571 -1.537 -1.517 -1.491 -1.404 -1.349 -1.325 -1.217 -1.177 -1.103 -1.055  -0.974  -0.884  -0.827  -0.807  -0.746  -0.675  -0.557  -0.304  -0.058    30.196   
13    ALA 1   E  0.066 0.239  19.214 20.99  193   -3.691 -3.496 -3.398 -3.38  -3.338 -3.261 -3.24  -3.212 -3.19  -3.174 -3.15  -3.084 -3.053 -3.036 -3.031 -3.012 -3.008 -2.986 -2.98  -2.96  -2.934 -2.925 -2.867 -2.856 -2.809 -2.782 -2.772 -2.752 -2.737 -2.728 -2.684 -2.652 -2.645 -2.627 -2.597 -2.591 -2.581 -2.57  -2.559 -2.54  -2.52  -2.497 -2.481 -2.474 -2.469 -2.453 -2.426 -2.419 -2.39  -2.371 -2.363 -2.334 -2.325 -2.313 -2.294 -2.274 -2.262 -2.236 -2.195 -2.146 -2.124 -2.108 -2.1   -2.06  -2.054 -1.987 -1.95  -1.901 -1.86  -1.848 -1.838 -1.807 -1.804 -1.785 -1.766 -1.745 -1.732 -1.682 -1.671 -1.649 -1.638 -1.623 -1.566 -1.491 -1.465 -1.423 -1.398 -1.362 -1.343 -1.307 -1.26   -1.247  -1.217  -1.176  -1.051  -0.868  -0.766  -0.57   -0.527  -0.413    -0.173   
14    ALA 1   E  0.066 0.239  20.99  23.13  483   -4.088 -3.564 -3.47  -3.406 -3.36  -3.318 -3.258 -3.214 -3.167 -3.139 -3.09  -3.061 -3.024 -3.002 -2.972 -2.945 -2.924 -2.909 -2.887 -2.867 -2.852 -2.824 -2.809 -2.781 -2.769 -2.748 -2.729 -2.709 -2.684 -2.668 -2.656 -2.621 -2.607 -2.596 -2.585 -2.561 -2.521 -2.512 -2.489 -2.471 -2.444 -2.423 -2.394 -2.378 -2.362 -2.354 -2.324 -2.306 -2.29  -2.274 -2.24  -2.211 -2.188 -2.171 -2.131 -2.115 -2.1   -2.062 -2.044 -2.008 -1.975 -1.93  -1.899 -1.889 -1.856 -1.838 -1.799 -1.786 -1.77  -1.747 -1.7   -1.673 -1.632 -1.606 -1.59  -1.561 -1.514 -1.469 -1.415 -1.394 -1.368 -1.34  -1.299 -1.254 -1.21  -1.181 -1.14  -1.094 -1.043 -1.012 -0.926  -0.882  -0.844  -0.766  -0.692  -0.666  -0.637  -0.593  -0.44   -0.168    4.39     
15    ALA 1   E  0.066 0.239  23.13  30.5   302   -3.856 -3.621 -3.51  -3.487 -3.439 -3.363 -3.265 -3.202 -3.174 -3.113 -3.077 -3.033 -3.014 -2.992 -2.969 -2.95  -2.93  -2.915 -2.883 -2.856 -2.839 -2.823 -2.806 -2.797 -2.774 -2.726 -2.722 -2.7   -2.687 -2.646 -2.571 -2.559 -2.535 -2.516 -2.493 -2.473 -2.411 -2.397 -2.382 -2.357 -2.329 -2.302 -2.281 -2.257 -2.234 -2.215 -2.202 -2.172 -2.146 -2.132 -2.121 -2.101 -2.082 -2.068 -2.052 -2.038 -2.029 -2.011 -2.001 -1.992 -1.969 -1.928 -1.898 -1.885 -1.863 -1.828 -1.779 -1.76  -1.708 -1.693 -1.675 -1.638 -1.615 -1.589 -1.566 -1.525 -1.507 -1.462 -1.425 -1.409 -1.395 -1.391 -1.356 -1.346 -1.279 -1.243 -1.204 -1.183 -1.167 -1.117 -1.083  -1.028  -0.944  -0.887  -0.717  -0.667  -0.617  -0.527  -0.435  -0.085    6.221    
16    ALA 1   E  0.239 0.489  5.5    12.598 273   -3.555 -3.393 -3.212 -3.152 -3.103 -2.991 -2.948 -2.879 -2.87  -2.833 -2.81  -2.784 -2.772 -2.745 -2.74  -2.718 -2.683 -2.651 -2.642 -2.631 -2.617 -2.605 -2.585 -2.54  -2.523 -2.508 -2.495 -2.482 -2.46  -2.447 -2.432 -2.409 -2.387 -2.364 -2.342 -2.335 -2.324 -2.307 -2.294 -2.286 -2.258 -2.243 -2.209 -2.201 -2.186 -2.164 -2.141 -2.131 -2.11  -2.074 -2.035 -2.001 -1.965 -1.937 -1.933 -1.911 -1.888 -1.862 -1.827 -1.808 -1.795 -1.78  -1.758 -1.72  -1.71  -1.691 -1.637 -1.618 -1.609 -1.591 -1.549 -1.533 -1.483 -1.467 -1.435 -1.414 -1.392 -1.343 -1.282 -1.256 -1.23  -1.204 -1.159 -1.133 -1.085 -1.042 -0.989 -0.926 -0.833 -0.771 -0.743  -0.682  -0.603  -0.531  -0.406  -0.34   -0.319  -0.209  0.034   0.223     7.952    
17    ALA 1   E  0.239 0.489  12.598 14.451 324   -3.523 -3.169 -3.112 -3.078 -3.038 -2.99  -2.964 -2.925 -2.897 -2.86  -2.842 -2.815 -2.791 -2.784 -2.78  -2.767 -2.762 -2.751 -2.734 -2.721 -2.695 -2.659 -2.642 -2.608 -2.585 -2.558 -2.54  -2.516 -2.484 -2.456 -2.442 -2.426 -2.408 -2.4   -2.368 -2.338 -2.324 -2.309 -2.297 -2.287 -2.278 -2.275 -2.259 -2.227 -2.199 -2.196 -2.18  -2.169 -2.133 -2.117 -2.101 -2.08  -2.06  -2.047 -2.029 -2.012 -1.989 -1.97  -1.965 -1.955 -1.944 -1.926 -1.922 -1.904 -1.865 -1.838 -1.833 -1.819 -1.771 -1.761 -1.698 -1.67  -1.618 -1.562 -1.507 -1.472 -1.449 -1.393 -1.346 -1.311 -1.262 -1.241 -1.212 -1.158 -1.12  -1.069 -1.023 -0.956 -0.933 -0.907 -0.868  -0.852  -0.785  -0.715  -0.64   -0.601  -0.496  -0.391  -0.214  0.078     0.166    
18    ALA 1   E  0.239 0.489  14.451 16.064 370   -3.572 -3.393 -3.245 -3.156 -3.118 -3.042 -2.996 -2.984 -2.954 -2.944 -2.919 -2.899 -2.875 -2.853 -2.848 -2.806 -2.779 -2.76  -2.745 -2.722 -2.696 -2.675 -2.661 -2.62  -2.595 -2.58  -2.56  -2.539 -2.525 -2.494 -2.485 -2.472 -2.439 -2.411 -2.4   -2.39  -2.376 -2.354 -2.323 -2.32  -2.313 -2.287 -2.271 -2.251 -2.23  -2.209 -2.189 -2.153 -2.135 -2.093 -2.075 -2.039 -2.034 -2.01  -1.999 -1.981 -1.937 -1.923 -1.882 -1.847 -1.796 -1.749 -1.706 -1.684 -1.666 -1.641 -1.615 -1.592 -1.546 -1.516 -1.488 -1.434 -1.361 -1.333 -1.262 -1.241 -1.129 -1.085 -1.05  -1.034 -1.018 -0.989 -0.957 -0.928 -0.883 -0.863 -0.849 -0.811 -0.723 -0.638 -0.603  -0.558  -0.521  -0.487  -0.46   -0.418  -0.313  -0.222  0.07    0.478     2.078    
19    ALA 1   E  0.239 0.489  16.064 18.161 364   -3.404 -3.346 -3.247 -3.207 -3.155 -3.109 -3.082 -3.053 -3.029 -3.001 -2.977 -2.954 -2.92  -2.862 -2.849 -2.81  -2.795 -2.776 -2.75  -2.735 -2.72  -2.712 -2.69  -2.661 -2.647 -2.63  -2.622 -2.606 -2.56  -2.54  -2.522 -2.502 -2.482 -2.453 -2.434 -2.391 -2.379 -2.362 -2.318 -2.285 -2.247 -2.209 -2.158 -2.108 -2.091 -2.053 -2.021 -1.994 -1.962 -1.918 -1.86  -1.8   -1.779 -1.756 -1.725 -1.685 -1.663 -1.635 -1.573 -1.559 -1.544 -1.493 -1.471 -1.449 -1.399 -1.376 -1.36  -1.353 -1.342 -1.314 -1.306 -1.258 -1.242 -1.217 -1.196 -1.151 -1.114 -1.079 -1.041 -1.015 -0.963 -0.941 -0.917 -0.893 -0.854 -0.841 -0.835 -0.779 -0.743 -0.713 -0.689  -0.674  -0.62   -0.573  -0.507  -0.462  -0.302  -0.254  -0.141  0.041     1.016    
20    ALA 1   E  0.239 0.489  18.161 30.5   366   -3.479 -3.371 -3.333 -3.296 -3.106 -3.047 -3.004 -2.977 -2.94  -2.902 -2.83  -2.79  -2.751 -2.719 -2.695 -2.64  -2.592 -2.569 -2.553 -2.531 -2.497 -2.457 -2.44  -2.431 -2.416 -2.387 -2.369 -2.359 -2.336 -2.318 -2.291 -2.271 -2.252 -2.23  -2.215 -2.185 -2.163 -2.147 -2.11  -2.044 -2.027 -1.98  -1.955 -1.937 -1.901 -1.891 -1.867 -1.843 -1.805 -1.773 -1.754 -1.714 -1.679 -1.654 -1.639 -1.62  -1.593 -1.583 -1.567 -1.544 -1.527 -1.441 -1.413 -1.403 -1.385 -1.363 -1.325 -1.309 -1.292 -1.268 -1.225 -1.213 -1.182 -1.159 -1.134 -1.115 -1.098 -1.048 -1.014 -0.983 -0.952 -0.933 -0.913 -0.907 -0.858 -0.831 -0.774 -0.753 -0.693 -0.665 -0.649  -0.61   -0.545  -0.519  -0.465  -0.367  -0.265  -0.122  -0.075  0.267     1.675    
